latitude,longitude,brightness,scan,track,acq_date,confidence,frp,type
-32.9098,145.8676,327,1.6,1.3,14/1/2023,100,47.8,0
-32.9132,145.8848,362,1.6,1.3,14/1/2023,100,181.5,0
-37.2287,141.2843,382.7,1.2,1.1,15/1/2023,100,199.1,0
-21.693,117.1432,336.8,1.1,1,15/1/2023,100,40,0
-21.6853,117.1551,337,1.1,1,15/1/2023,100,39.3,0
-21.6837,117.1448,351.6,1.1,1,15/1/2023,100,69.9,0
-21.6792,117.1524,353,1.1,1,15/1/2023,100,73.5,0
-21.2966,119.5529,322.2,1,1,15/1/2023,100,18.6,0
-28.8541,151.2783,423.7,1.1,1,16/1/2023,100,441.9,0
-28.8524,151.289,503.7,1.1,1,16/1/2023,100,1811.2,0
-28.8507,151.2998,375.8,1.1,1,16/1/2023,100,123.3,0
-28.8615,151.291,368.7,1.1,1,16/1/2023,100,96.7,0
-28.8472,151.2821,382.1,1.1,1,16/1/2023,100,156.8,0
-28.8455,151.2929,388.7,1.1,1,16/1/2023,100,189.4,0
-24.2609,114.9945,367.6,1.1,1,17/1/2023,100,96.6,0
-24.2702,114.9963,396,1.1,1,17/1/2023,100,230.5,0
-20.1215,124.2122,331.8,1.1,1,17/1/2023,100,31.6,0
-20.1109,124.2035,328,1.1,1,17/1/2023,100,26.9,0
-30.1884,150.9121,362.5,1.1,1.1,18/1/2023,100,92.2,0
-28.1201,151.7891,373.3,1,1,18/1/2023,100,116.7,0
-28.0246,151.7444,369.5,1,1,18/1/2023,100,104.4,0
-29.7147,148.8521,367.9,1.4,1.2,18/1/2023,100,141.1,0
-20.4415,122.804,373.9,1.3,1.1,18/1/2023,100,167.9,0
-20.4313,122.8025,360.3,1.3,1.1,18/1/2023,100,110.6,0
-20.4339,122.7973,373.8,1.3,1.1,18/1/2023,100,174.2,0
-20.0635,139.2919,373.6,1,1,19/1/2023,100,112.2,0
-19.7772,138.974,369.9,1,1,19/1/2023,100,101.2,0
-19.7786,138.9642,379.2,1,1,19/1/2023,100,136.4,0
-19.7799,138.9544,362.8,1,1,19/1/2023,100,78.9,0
-24.3584,115.059,361,1,1,19/1/2023,100,74,0
-28.3527,149.9218,321,1,1,19/1/2023,100,18.5,0
-28.3541,149.9323,324.1,1,1,19/1/2023,100,22,0
-28.7273,148.8046,380.6,1.2,1.1,21/1/2023,100,178.2,0
-26.7757,114.6059,367.7,1.8,1.3,21/1/2023,100,194.3,0
-20.6394,139.7985,379.3,2.2,1.4,22/1/2023,100,418.2,0
-20.6364,139.8113,368.2,2.2,1.4,22/1/2023,100,296.7,0
-18.3852,124.6192,365.4,1.2,1.1,23/1/2023,100,113.9,0
-29.7115,118.3856,497.3,1.4,1.2,24/1/2023,100,2502.8,0
-29.7009,118.3831,410.6,1.4,1.2,24/1/2023,100,450.3,0
-29.7141,118.3711,504.5,1.4,1.2,24/1/2023,100,2798.5,0
-29.9728,118.2058,393.7,1.4,1.2,24/1/2023,100,316.5,0
-29.9599,118.2176,410.2,1.4,1.2,24/1/2023,100,474.5,0
-29.9624,118.2033,472.8,1.4,1.2,24/1/2023,100,1650.7,0
-29.9649,118.1891,389.2,1.4,1.2,24/1/2023,100,272.7,0
-29.952,118.2009,387.9,1.4,1.2,24/1/2023,100,258.2,0
-29.9546,118.1866,411.9,1.4,1.2,24/1/2023,100,485.4,0
-29.722,118.388,504.6,1.4,1.2,24/1/2023,100,2847.9,0
-29.6968,118.3752,393.4,1.4,1.2,24/1/2023,100,312.9,0
-29.7099,118.3632,465,1.4,1.2,24/1/2023,100,1471.5,0
-29.7073,118.3777,477.1,1.4,1.2,24/1/2023,100,1817.6,0
-29.7036,118.3685,506.1,1.4,1.2,24/1/2023,100,2864.1,0
-29.6994,118.3606,469.2,1.4,1.2,24/1/2023,100,1612.7,0
-29.702,118.346,414.7,1.4,1.2,24/1/2023,100,536.8,0
-29.6386,117.4066,413.8,1.3,1.1,24/1/2023,100,446.7,0
-34.9099,148.4893,390.9,1.6,1.2,25/1/2023,100,371.9,0
-34.9116,148.4717,369.2,1.6,1.2,25/1/2023,100,196.2,0
-27.5126,150.4151,325.4,2.7,1.6,25/1/2023,100,96.7,0
-27.507,150.3883,347.3,2.7,1.6,25/1/2023,100,239.6,0
-27.5003,150.4107,326.9,2.7,1.6,25/1/2023,100,104.8,0
-27.5085,150.3802,328.2,2.7,1.6,25/1/2023,100,111.6,0
-27.5142,150.407,329,2.7,1.6,25/1/2023,100,115.6,0
-30.8829,120.0038,360.9,1.1,1.1,26/1/2023,100,75.1,0
-29.7065,118.3374,379.3,1,1,26/1/2023,100,133.2,0
-29.7081,118.3268,369.4,1,1,26/1/2023,100,97.1,0
-23.5572,114.202,370.2,3.1,1.7,27/1/2023,100,495.2,0
-23.623,114.1867,390.3,3.1,1.7,27/1/2023,100,928.4,0
-23.6168,114.2168,395,3.1,1.7,27/1/2023,100,1072.9,0
-23.6133,114.2208,384.2,3.1,1.7,27/1/2023,100,787.9,0
-23.6197,114.1907,402.8,3.1,1.7,27/1/2023,100,1294,0
-22.8893,114.3112,394.1,3.3,1.7,27/1/2023,100,1140.6,0
-22.8837,114.3144,361,3.3,1.7,27/1/2023,100,392.7,0
-22.899,114.3182,374.8,3.3,1.7,27/1/2023,100,637.7,0
-23.5589,114.1949,372.1,3.1,1.7,27/1/2023,100,521.6,0
-23.6034,114.2502,323.4,1,1,27/1/2023,100,20.1,0
-23.5888,114.1654,360.4,1.6,1.2,28/1/2023,100,106.3,0
-27.2515,150.2931,366.8,1.1,1.1,30/1/2023,100,108.6,0
-27.2421,150.2912,377.4,1.1,1.1,30/1/2023,100,152.2,0
-20.8812,118.0512,367.3,1.3,1.1,30/1/2023,100,136.3,0
-20.8797,118.0641,366.6,1.3,1.1,30/1/2023,100,131.5,0
-20.8735,118.0577,374.6,1.3,1.1,30/1/2023,100,176.6,0
-19.4908,123.8953,352.9,1.1,1.1,31/1/2023,100,79.8,0
-19.4922,123.906,380.6,1.1,1.1,31/1/2023,100,183.9,0
-19.4937,123.9167,332.9,1.1,1.1,31/1/2023,100,36,0
-19.4951,123.9274,341.7,1.1,1.1,31/1/2023,100,53,0
-28.3458,116.007,320.3,1.3,1.1,3/2/2023,100,23.2,0
-28.3531,116.0002,326.2,1.3,1.1,3/2/2023,100,32.5,0
-33.8576,115.8642,327.3,1.5,1.2,3/2/2023,100,49.3,0
-33.8558,115.8471,359.1,1.5,1.2,3/2/2023,100,157.2,0
-25.579,132.564,380.1,1,1,5/2/2023,100,129.9,0
-25.57,132.5624,363.9,1,1,5/2/2023,100,74.5,0
-25.5714,132.5524,369,1,1,5/2/2023,100,92.6,0
-20.5974,116.7838,328.2,1,1,5/2/2023,100,22.5,0
-33.7087,146.3726,395.8,1.1,1.1,6/2/2023,100,262.3,0
-33.3832,148.171,363.5,1,1,6/2/2023,100,75.1,0
-32.507,147.1083,458.3,1.1,1,6/2/2023,100,874.7,0
-30.7506,146.8651,373,1,1,6/2/2023,100,110.8,0
-30.7383,146.901,379.3,1,1,6/2/2023,100,134.7,0
-30.7398,146.8901,382.4,1,1,6/2/2023,100,147.4,0
-30.7412,146.8792,381.3,1,1,6/2/2023,100,142.9,0
-30.7427,146.8683,372,1,1,6/2/2023,100,105,0
-30.7442,146.8574,376.8,1,1,6/2/2023,100,124.8,0
-33.8495,119.8594,394.3,1.4,1.2,6/2/2023,100,342.8,0
-33.8478,119.8748,415.7,1.4,1.2,6/2/2023,100,571.7,0
-25.5771,132.5458,360.5,3.6,1.8,6/2/2023,100,443.2,0
-25.5703,132.5394,365.2,3.6,1.8,6/2/2023,100,536.5,0
-33.9177,147.7945,361.5,2.7,1.6,7/2/2023,100,302.8,0
-33.8834,147.8139,390.7,2.7,1.6,7/2/2023,100,779.8,0
-33.8816,147.8086,408.6,2.7,1.6,7/2/2023,100,1234,0
-25.5221,132.5218,380.9,1.3,1.1,7/2/2023,100,198.4,0
-25.5205,132.5351,400.2,1.3,1.1,7/2/2023,100,344.4,0
-25.519,132.5484,414.7,1.3,1.1,7/2/2023,100,493.7,0
-25.5174,132.5616,360.4,1.3,1.1,7/2/2023,100,91.7,0
-25.5293,132.5499,411.4,1.3,1.1,7/2/2023,100,452.5,0
-25.5277,132.5631,412.1,1.3,1.1,7/2/2023,100,464.9,0
-32.0708,121.223,365.9,2.3,1.5,7/2/2023,100,280.6,0
-32.0689,121.2401,380.4,2.3,1.5,7/2/2023,100,458,0
-32.056,121.2363,362.1,2.3,1.5,7/2/2023,100,248.8,0
-33.8041,119.9011,365.4,1.7,1.3,7/2/2023,100,198.1,0
-33.8077,119.8827,374.4,1.7,1.3,7/2/2023,100,257.9,0
-33.8113,119.8644,367.4,1.7,1.3,7/2/2023,100,202.8,0
-33.7927,119.8978,374.3,1.7,1.3,7/2/2023,100,266.8,0
-33.7963,119.8795,381.6,1.7,1.3,7/2/2023,100,325.9,0
-33.7999,119.8612,461.8,1.7,1.3,7/2/2023,100,1879.6,0
-33.7849,119.8764,396.6,1.7,1.3,7/2/2023,100,488.3,0
-32.0657,121.2468,369.8,2.3,1.5,7/2/2023,100,325.9,0
-25.5226,132.5958,378.1,2.1,1.4,8/2/2023,100,350.8,0
-25.5266,132.5751,366.2,2.1,1.4,8/2/2023,100,219.9,0
-25.489,132.5661,371.1,2.1,1.4,8/2/2023,100,281.6,0
-25.4902,132.5611,364.5,2.1,1.4,8/2/2023,100,220.8,0
-24.3267,114.1072,371.1,1,1,9/2/2023,100,84.8,0
-24.3177,114.1056,373.3,1,1,9/2/2023,100,90.4,0
-24.205,114.0605,371.8,1,1,9/2/2023,100,89.9,0
-29.3625,148.9108,374.4,1.7,1.3,10/2/2023,100,263.8,0
-25.3294,149.8479,386,1.3,1.2,10/2/2023,100,253.6,0
-25.9531,150.4776,360.9,1.3,1.1,10/2/2023,100,105.9,0
-27.0404,150.4631,374.8,1.3,1.1,10/2/2023,100,174.5,0
-27.0521,150.4515,396.7,1.3,1.1,10/2/2023,100,325.2,0
-27.0506,150.4647,365.2,1.3,1.1,10/2/2023,100,125.9,0
-27.0419,150.45,384.8,1.3,1.1,10/2/2023,100,237.5,0
-25.2983,149.8435,373.1,1.3,1.2,10/2/2023,100,174.1,0
-25.3191,149.8465,410.5,1.3,1.2,10/2/2023,100,473.5,0
-25.6495,132.504,364.3,1.3,1.1,10/2/2023,100,102.3,0
-25.6474,132.5164,362.6,1.3,1.1,10/2/2023,100,91.9,0
-25.1537,129.8196,389.2,1,1,10/2/2023,100,160.7,0
-35.0141,148.7416,387.4,1.2,1.1,11/2/2023,100,218.8,0
-35.0045,148.7391,385.8,1.2,1.1,11/2/2023,100,209.1,0
-35.0067,148.7264,375.7,1.2,1.1,11/2/2023,100,155,0
-27.421,149.7515,451.7,1.8,1.3,11/2/2023,100,1743.4,0
-27.4363,149.7359,385.4,1.8,1.3,11/2/2023,100,374.4,0
-25.6727,147.6798,364.5,1.5,1.2,11/2/2023,100,140.3,0
-27.4328,149.7544,408.7,1.8,1.3,11/2/2023,100,700.5,0
-25.9881,150.5101,380.5,2.2,1.4,11/2/2023,100,443.8,0
-26.0096,150.4692,398.3,2.2,1.4,11/2/2023,100,717.6,0
-27.4245,149.733,446.7,1.8,1.3,11/2/2023,100,1578.8,0
-25.661,132.5118,371.2,4,1.9,11/2/2023,100,748.7,0
-25.6728,132.5053,371.8,4,1.9,11/2/2023,100,766.5,0
-24.3456,114.0959,368.1,1.4,1.2,11/2/2023,100,122.7,0
-34.002,149.0979,330.4,1,1,11/2/2023,100,29.9,0
-34.0036,149.1087,323.6,1,1,11/2/2023,100,22.1,0
-32.5654,148.6747,324.4,1,1,11/2/2023,100,22.4,0
-33.9937,149.1053,321.5,1,1,11/2/2023,100,20,0
-26.0035,150.4787,371.1,2.1,1.4,12/2/2023,100,301,0
-25.7039,132.4978,364.9,1,1,12/2/2023,100,73.8,0
-25.6594,132.5508,362.5,1,1,12/2/2023,100,61.4,0
-25.6608,132.5409,366.5,1,1,12/2/2023,100,73.6,0
-25.621,132.5577,367.3,1,1,12/2/2023,100,74.5,0
-25.6121,132.5561,361.6,1,1,12/2/2023,100,54.9,0
-22.1196,123.9198,365.6,2.5,1.5,12/2/2023,100,320,0
-22.1334,123.9215,382.5,2.5,1.5,12/2/2023,100,558.3,0
-22.1308,123.9461,367.1,2.5,1.5,12/2/2023,100,325.9,0
-22.1143,123.9015,361.8,2.5,1.5,12/2/2023,100,287.7,0
-22.1258,123.9279,398.6,2.5,1.5,12/2/2023,100,870.5,0
-22.1396,123.9295,362,2.5,1.5,12/2/2023,100,269.8,0
-21.7815,117.5807,363.4,4.1,1.9,12/2/2023,100,618.3,0
-26.4742,150.2124,320.7,3.6,1.8,12/2/2023,100,111.8,0
-26.482,150.2034,325,3.6,1.8,12/2/2023,100,138.5,0
-26.5301,150.1994,327.8,3.6,1.8,12/2/2023,100,156.7,0
-26.5393,150.1941,328.8,3.6,1.8,12/2/2023,100,163.5,0
-30.7236,146.8995,418.9,1,1,13/2/2023,100,371.4,0
-30.7327,146.9012,424.3,1,1,13/2/2023,100,418.5,0
-29.6862,148.5328,368.3,1,1,13/2/2023,100,87,0
-26.9697,150.5829,396.1,1.3,1.1,13/2/2023,100,308.9,0
-26.972,150.5699,372.4,1.3,1.1,13/2/2023,100,152.6,0
-26.9573,150.5937,377.5,1.3,1.1,13/2/2023,100,179.7,0
-26.9596,150.5807,449.9,1.3,1.1,13/2/2023,100,1015.3,0
-26.9619,150.5676,425.1,1.3,1.1,13/2/2023,100,615.3,0
-26.5748,150.972,411.9,1.4,1.2,13/2/2023,100,510,0
-26.5771,150.9583,477,1.4,1.2,13/2/2023,100,1796.4,0
-26.5795,150.9446,391.3,1.4,1.2,13/2/2023,100,294.8,0
-26.5643,150.9698,485.3,1.4,1.2,13/2/2023,100,2063.3,0
-26.5667,150.956,502.1,1.4,1.2,13/2/2023,100,2651.8,0
-26.5691,150.9423,445.6,1.4,1.2,13/2/2023,100,1022.8,0
-26.5563,150.9537,363.9,1.4,1.2,13/2/2023,100,126.7,0
-26.5879,150.2302,377.7,1.3,1.1,13/2/2023,100,170.4,0
-26.59,150.2176,407.9,1.3,1.1,13/2/2023,100,388.3,0
-26.5922,150.2051,443.5,1.3,1.1,13/2/2023,100,845,0
-26.5715,150.2658,412.4,1.3,1.1,13/2/2023,100,456.8,0
-26.5736,150.2532,485,1.3,1.1,13/2/2023,100,1793.4,0
-26.5758,150.2406,436.2,1.3,1.1,13/2/2023,100,743.3,0
-26.5779,150.2281,407.8,1.3,1.1,13/2/2023,100,385.5,0
-26.5615,150.2637,369.5,1.3,1.1,13/2/2023,100,139.9,0
-26.5636,150.2511,417.4,1.3,1.1,13/2/2023,100,503.7,0
-26.5658,150.2385,415.2,1.3,1.1,13/2/2023,100,465.5,0
-26.5536,150.249,420.7,1.3,1.1,13/2/2023,100,536.7,0
-26.5558,150.2364,428.3,1.3,1.1,13/2/2023,100,620.6,0
-26.558,150.2238,398.4,1.3,1.1,13/2/2023,100,274.7,0
-26.5245,150.1851,396.7,1.3,1.1,13/2/2023,100,290.5,0
-26.5082,150.2207,361.1,1.3,1.1,13/2/2023,100,95.6,0
-26.5125,150.1955,386.1,1.3,1.1,13/2/2023,100,220,0
-26.4939,150.2438,402.2,1.3,1.1,13/2/2023,100,356.6,0
-26.4961,150.2312,396.7,1.3,1.1,13/2/2023,100,305,0
-26.4982,150.2186,391.9,1.3,1.1,13/2/2023,100,269.8,0
-26.5046,150.1808,364.8,1.3,1.1,13/2/2023,100,111.7,0
-26.4839,150.2417,427,1.3,1.1,13/2/2023,100,628.5,0
-26.4861,150.229,415.5,1.3,1.1,13/2/2023,100,483.4,0
-26.4947,150.1786,365.7,1.3,1.1,13/2/2023,100,116.5,0
-26.4826,150.189,363.8,1.3,1.1,13/2/2023,100,107.1,0
-26.4683,150.2122,360.4,1.3,1.1,13/2/2023,100,94.7,0
-26.4704,150.1995,417.2,1.3,1.1,13/2/2023,100,497.4,0
-26.4726,150.1869,389.2,1.3,1.1,13/2/2023,100,245.4,0
-26.1614,149.4057,372,1.2,1.1,13/2/2023,100,116.4,0
-26.1633,149.3941,382,1.2,1.1,13/2/2023,100,164.3,0
-25.6519,147.6842,361,1,1,13/2/2023,100,70.3,0
-22.1466,123.8618,382.5,1.2,1.1,13/2/2023,100,175.2,0
-22.1328,123.8237,373.8,1.2,1.1,13/2/2023,100,135.1,0
-20.5077,120.2317,375.1,1,1,13/2/2023,100,114.4,0
-22.1485,123.8503,400.9,1.2,1.1,13/2/2023,100,303.6,0
-26.4535,150.2936,326.3,1.3,1.1,13/2/2023,100,35.8,0
-26.5172,150.2464,325.4,1.4,1.2,13/2/2023,100,29.2,0
-26.5076,150.1927,320.6,1.4,1.2,13/2/2023,100,22,0
-26.5052,150.1794,336.7,1.4,1.2,13/2/2023,100,54.3,0
-26.507,150.2487,323,1.4,1.2,13/2/2023,100,26.1,0
-26.5104,150.2534,328.6,1.4,1.2,13/2/2023,100,35.7,0
-26.4987,150.1862,321,1.4,1.2,13/2/2023,100,23.3,0
-26.4725,150.2198,324.2,1.4,1.2,13/2/2023,100,24.7,0
-26.4702,150.2064,327.9,1.4,1.2,13/2/2023,100,31.6,0
-26.4678,150.1929,324.8,1.4,1.2,13/2/2023,100,27,0
-26.4654,150.1794,384.9,1.4,1.2,13/2/2023,100,269.5,0
-26.463,150.1659,379.5,1.4,1.2,13/2/2023,100,234.5,0
-26.3758,150.1918,323.8,1.4,1.2,13/2/2023,100,30.4,0
-26.3901,150.273,325.4,1.4,1.2,13/2/2023,100,33.7,0
-26.3862,150.1896,341.7,1.4,1.2,13/2/2023,100,69.3,0
-26.3885,150.2031,337.6,1.4,1.2,13/2/2023,100,58.4,0
-26.4003,150.2706,337.2,1.4,1.2,13/2/2023,100,57.1,0
-26.4027,150.284,327.1,1.4,1.2,13/2/2023,100,36.2,0
-26.5195,150.9623,324.6,1.2,1.1,13/2/2023,100,27.8,0
-26.3941,150.1738,356.2,1.4,1.2,13/2/2023,100,117.5,0
-26.3965,150.1874,378.9,1.4,1.2,13/2/2023,100,231.1,0
-26.3989,150.2009,356.6,1.4,1.2,13/2/2023,100,118.3,0
-26.4012,150.2144,346.7,1.4,1.2,13/2/2023,100,83,0
-26.4129,150.2818,320.7,1.4,1.2,13/2/2023,100,25.1,0
-26.5273,150.9481,328.1,1.2,1.1,13/2/2023,100,33,0
-26.5294,150.9602,330.2,1.2,1.1,13/2/2023,100,35.5,0
-26.4045,150.1715,372.3,1.4,1.2,13/2/2023,100,193.5,0
-26.4068,150.1851,387.7,1.4,1.2,13/2/2023,100,292.9,0
-26.4092,150.1986,355.3,1.4,1.2,13/2/2023,100,112.7,0
-26.4115,150.2121,370.6,1.4,1.2,13/2/2023,100,181,0
-26.4139,150.2256,335.4,1.4,1.2,13/2/2023,100,52.6,0
-26.4162,150.2391,322.8,1.4,1.2,13/2/2023,100,28.3,0
-26.4185,150.2526,345.9,1.4,1.2,13/2/2023,100,79.6,0
-26.4209,150.2661,333.4,1.4,1.2,13/2/2023,100,48.2,0
-26.4232,150.2795,330.8,1.4,1.2,13/2/2023,100,43.6,0
-26.5351,150.9337,333.4,1.2,1.1,13/2/2023,100,43.4,0
-26.5372,150.9461,343.3,1.2,1.1,13/2/2023,100,64.4,0
-26.5393,150.9582,327.2,1.2,1.1,13/2/2023,100,30.6,0
-26.3986,150.1659,333.5,1.4,1.2,13/2/2023,100,49.1,0
-26.401,150.1794,378.8,1.4,1.2,13/2/2023,100,231.2,0
-26.4034,150.1929,357,1.4,1.2,13/2/2023,100,119.1,0
-26.4059,150.2064,349.4,1.4,1.2,13/2/2023,100,91.3,0
-26.4083,150.2199,340.3,1.4,1.2,13/2/2023,100,64.7,0
-26.4131,150.2468,323.5,1.4,1.2,13/2/2023,100,28.8,0
-26.4156,150.2602,330.4,1.4,1.2,13/2/2023,100,42.6,0
-26.418,150.2737,327.8,1.4,1.2,13/2/2023,100,38.2,0
-26.4204,150.287,322.7,1.3,1.2,13/2/2023,100,30.1,0
-26.5358,150.9394,337.3,1.2,1.1,13/2/2023,100,50.1,0
-26.4113,150.1772,380.8,1.4,1.2,13/2/2023,100,244.8,0
-26.4138,150.1907,362.7,1.4,1.2,13/2/2023,100,143.6,0
-26.4162,150.2042,357.7,1.4,1.2,13/2/2023,100,122,0
-26.4186,150.2176,349.7,1.4,1.2,13/2/2023,100,91.5,0
-26.421,150.2311,324.9,1.4,1.2,13/2/2023,100,30,0
-26.4234,150.2445,333.2,1.4,1.2,13/2/2023,100,47.7,0
-26.4258,150.258,345.5,1.4,1.2,13/2/2023,100,79.7,0
-26.4283,150.2714,334.3,1.4,1.2,13/2/2023,100,50.8,0
-26.4306,150.2848,328.5,1.3,1.2,13/2/2023,100,40.2,0
-26.4193,150.1614,363,1.4,1.2,13/2/2023,100,146.8,0
-26.4217,150.1749,383.9,1.4,1.2,13/2/2023,100,266,0
-26.4241,150.1884,353.8,1.4,1.2,13/2/2023,100,107.6,0
-26.4265,150.2019,335,1.4,1.2,13/2/2023,100,50.9,0
-26.4361,150.2557,340.9,1.4,1.2,13/2/2023,100,65.6,0
-26.4385,150.2692,340.6,1.4,1.2,13/2/2023,100,65.6,0
-26.4527,150.1682,348.4,1.4,1.2,13/2/2023,100,88.3,0
-26.4495,150.2109,325.6,1.4,1.2,13/2/2023,100,28.8,0
-26.4472,150.1974,346.4,1.4,1.2,13/2/2023,100,80.6,0
-26.4448,150.1839,346.4,1.4,1.2,13/2/2023,100,81.2,0
-26.4424,150.1704,325.9,1.4,1.2,13/2/2023,100,33.6,0
-26.4512,150.2803,337.1,1.3,1.2,13/2/2023,100,57.1,0
-26.4488,150.2669,334.8,1.4,1.2,13/2/2023,100,49.8,0
-26.4392,150.2132,325.4,1.4,1.2,13/2/2023,100,30.2,0
-26.4575,150.1952,332.5,1.4,1.2,13/2/2023,100,43.3,0
-26.4368,150.1997,350.6,1.4,1.2,13/2/2023,100,94.2,0
-26.4344,150.1862,358.6,1.4,1.2,13/2/2023,100,125.6,0
-26.432,150.1727,349.2,1.4,1.2,13/2/2023,100,92.5,0
-26.4296,150.1591,328.5,1.4,1.2,13/2/2023,100,39.1,0
